Sesion,Condicion,Periodo,EA,EB,EC,CA1,CA2,CB1,CB2,CC1,CC2,Promedio,Objetivo,Puntos1,Puntos2,Puntos3,TA,TB,TC
1,0,1,100,86,29,30,20,46,15,72,50,71.66666667,47.77777778,0,1,6,,,
1,0,2,33,71,14,50,70,1,38,25,39,39.33333333,26.22222222,7,1,1,,,
1,0,3,27,30,2,30,60,52,10,33,10,19.66666667,13.11111111,1,0,7,,,
1,0,4,7,11,19,20,30,5,51,25,63,12.33333333,8.222222222,7,1,0,15,3,14
1,1,1,23,54,90,20,60,85,45,75,99,55.66666667,37.11111111,7,1,0,,,
1,1,2,33,26,47,70,20,45,35,59,33,35.33333333,23.55555556,0,8,1,,,
1,1,3,14,25,30,20,15,47,26,28,35,23,15.33333333,7,1,1,,,
1,1,4,7,26,9,20,15,15,32,20,15,14,9.333333333,0,0,6,14,10,8
2,0,1,100,30,58,5,95,50,85,20,52,62.66666667,41.77777778,0,6,0,,,
2,0,2,40,45,52,25,16,25,60,18,50,45.66666667,30.44444444,6,0,1,,,
2,0,3,60,35,35,35,27,60,75,50,30,43.33333333,28.88888889,1,4,4,,,
2,0,4,28,25,40,28,40,30,50,45,50,31,20.66666667,2,7,0,9,17,5
2,1,1,25,89,82,30,50,9,21,11,26,65.33333333,43.55555556,6,1,1,,,
2,1,2,20,19,56,43,60,10,30,32,46,31.66666667,21.11111111,7,0,0,,,
2,1,3,45,63,17,15,70,22,17,6,12,41.66666667,27.77777778,1,1,6,,,
2,1,4,15,27,24,56,30,32,12,31,25,22,14.66666667,7,1,1,21,3,8
3,0,1,96,32,84,57,61,10,60,75,50,70.66666667,47.11111111,0,6,0,,,
3,0,2,25,24,63,56,37,30,40,62,15,37.33333333,24.88888889,6,1,0,,,
3,0,3,3,35,27,17,82,55,21,25,30,21.66666667,14.44444444,6,0,1,,,
3,0,4,81,70,17,95,36,40,8,15,2,56,37.33333333,0,0,6,12,7,7
3,1,1,16,60,6,46,18,50,30,7,5,27.33333333,18.22222222,6,0,0,,,
3,1,2,32,25,23,56,40,18,65,73,18,26.66666667,17.77777778,0,1,6,,,
3,1,3,12,22,16,42,19,16,32,11,31,16.66666667,11.11111111,7,1,1,,,
3,1,4,55,14,6,49,21,12,20,18,3,25,16.66666667,0,6,1,13,8,8
4,0,1,12,36,24,41,30,14,24,48,87,24,16,7,2,0,,,
4,0,2,15,72,5,10,21,32,16,32,25,30.66666667,20.44444444,7,1,0,,,
4,0,3,24,12,28,40,10,9,22,18,46,21.33333333,14.22222222,1,7,0,,,
4,0,4,14,18,20,20,16,26,32,18,32,17.33333333,11.55555556,8,0,1,23,10,1
4,1,1,15,35,20,6,20,40,70,7,17,23.33333333,15.55555556,7,0,1,,,
4,1,2,10,25,21,15,24,10,30,28,19,18.66666667,12.44444444,7,1,1,,,
4,1,3,25,15,13,17,12,20,10,15,28,17.66666667,11.77777778,2,2,8,,,
4,1,4,13,9,8,12,17,17,10,29,16,10,6.666666667,1,2,7,17,5,17
5,0,1,22,60,76,33,88,65,63,25,40,52.66666667,35.11111111,6,0,1,,,
5,0,2,17,20,48,45,40,30,35,29,70,28.33333333,18.88888889,1,6,0,,,
5,0,3,8,10,33,20,23,16,18,30,15,17,11.33333333,0,6,1,,,
5,0,4,3,8,11,10,12,17,19,7,15,7.333333333,4.888888889,8,0,1,15,12,3
5,1,1,22,8,65,65,70,15,23,30,70,31.66666667,21.11111111,7,1,0,,,
5,1,2,15,35,11,33,20,58,66,30,5,20.33333333,13.55555556,7,0,1,,,
5,1,3,7,15,18,20,18,10,20,20,15,13.33333333,8.888888889,8,2,1,,,
5,1,4,3,5,10,10,12,12,14,15,8,6,4,5,4,1,27,7,3
6,0,1,13,29,34,7,9,10,40,20,63,25.33333333,16.88888889,6,1,0,,,
6,0,2,27,33,28,23,13,20,5,15,40,29.33333333,19.55555556,7,0,0,,,
6,0,3,13,97,17,23,19,43,90,25,30,42.33333333,28.22222222,1,0,6,,,
6,0,4,23,24,23,17,15,29,50,30,35,23.33333333,15.55555556,3,0,3,17,1,9
6,1,1,13,12,38,27,19,6,3,61,18,21,14,6,0,1,,,
6,1,2,17,25,15,23,21,30,15,9,11,19,12.66666667,1,1,6,,,
6,1,3,13,7,22,15,17,17,20,36,21,14,9.333333333,1,8,0,,,
6,1,4,5,4,12,5,17,22,12,10,17,7,4.666666667,8,1,1,16,10,8
7,0,1,35,55,37,50,20,23,70,25,18,42.33333333,28.22222222,7,0,0,,,
7,0,2,25,13,63,35,40,7,25,43,68,33.66666667,22.44444444,6,1,0,,,
7,0,3,27,7,11,30,65,27,62,25,33,15,10,0,1,7,,,
7,0,4,15,68,24,23,18,42,9,28,52,35.66666667,23.77777778,1,0,6,14,2,13
7,1,1,28,58,20,35,47,4,60,5,31,35.33333333,23.55555556,0,0,7,,,
7,1,2,22,32,35,40,18,20,30,21,18,29.66666667,19.77777778,7,2,1,,,
7,1,3,21,14,18,32,24,15,25,20,26,17.66666667,11.77777778,0,8,1,,,
7,1,4,20,10,35,13,27,14,26,30,40,21.66666667,14.44444444,1,6,0,8,16,9
8,0,1,35,25,25,45,55,50,70,15,60,28.33333333,18.88888889,0,3,3,,,
8,0,2,30,40,30,20,40,45,10,30,50,33.33333333,22.22222222,4,0,4,,,
8,0,3,25,33,35,20,30,22,32,40,50,31,20.66666667,7,2,0,,,
8,0,4,25,27,30,30,20,20,28,25,35,27.33333333,18.22222222,7,2,1,18,7,8
8,1,1,40,26,16,50,30,70,32,23,58,27.33333333,18.22222222,1,0,7,,,
8,1,2,20,35,24,15,25,85,15,18,30,26.33333333,17.55555556,7,1,2,,,
8,1,3,20,45,78,25,20,25,65,20,25,47.66666667,31.77777778,6,1,1,,,
8,1,4,28,14,51,30,35,20,85,27,38,31,20.66666667,0,6,1,14,8,11
9,0,1,45,95,6,20,75,25,4,4,8,48.66666667,32.44444444,6,1,0,,,
9,0,2,55,23,28,40,75,15,30,35,42,35.33333333,23.55555556,0,7,0,,,
9,0,3,30,40,32,25,35,50,30,20,40,34,22.66666667,7,1,1,,,
9,0,4,25,35,34,23,28,45,35,35,25,31.33333333,20.88888889,6,1,2,19,10,3
9,1,1,55,60,18,80,15,30,20,22,30,44.33333333,29.55555556,1,1,6,,,
9,1,2,35,24,20,30,40,32,15,25,30,26.33333333,17.55555556,0,2,8,,,
9,1,3,20,22,19,25,20,24,32,15,20,20.33333333,13.55555556,2,2,8,,,
9,1,4,12,17,16,15,17,18,13,18,20,15,10,8,2,1,11,8,23
10,0,1,90,15,55,50,30,12,5,60,78,53.33333333,35.55555556,1,0,6,,,
10,0,2,20,45,47,30,40,60,30,30,60,37.33333333,24.88888889,7,0,0,,,
10,0,3,40,35,35,70,15,55,30,30,45,36.66666667,24.44444444,0,4,5,,,
10,0,4,30,45,40,20,40,50,45,40,45,38.33333333,25.55555556,7,1,1,15,5,12
10,1,1,35,15,32,60,20,30,75,53,81,27.33333333,18.22222222,1,7,0,,,
10,1,2,20,23,28,30,40,55,22,16,51,23.66666667,15.77777778,7,1,1,,,
10,1,3,25,18,43,20,35,42,20,33,42,28.66666667,19.11111111,1,8,0,,,
10,1,4,20,21,15,25,30,52,19,23,30,18.66666667,12.44444444,1,1,7,10,17,8