Sesion,Subjuego,Periodo,EA,EB,EC,Promedio,Objetivo,Target - C1,Target - C2,Target - C3,B1a,B1b,BO1,BOP1,BA1,BAP1,DO1,DOP1,DA1,DAP1,W1,W1pre,W1post,G1,B2a,B2b,BO2,BOP2,BA2,BAP2,DO2,DOP2,DA2,DAP2,W2,W2pre,W2pos,G2,CC1,CC2,BO3,BOP3,BA3,BAP3,DO3,DOP3,DA3,DAP3,W3,W3pre,W3pos,G3,Puntos1,Puntos2,Puntos3,TA,TB,TC,
1,0,1,100,86,29,71.66666667,47.77777778,-52.22222222,-38.22222222,18.77777778,30,20,25,16.66666667,50,33.33333333,-75,-83.33333333,-50,-66.66666667,0,0,1,0,46,15,30.5,20.33333333,49,32.66666667,-55.5,-65.66666667,-37,-53.33333333,0,0,0,0,72,50,61,40.66666667,50.33333333,33.55555556,32,11.66666667,21.33333333,4.555555556,1,1,0,0,1,0,6,,,,
1,0,2,33,71,14,39.33333333,26.22222222,-6.777777778,-44.77777778,12.22222222,50,70,60,40,51,34,27,7,18,1,1,1,0,1,1,38,19.5,13,36.66666667,24.44444444,-51.5,-58,-34.33333333,-46.55555556,0,0,1,1,25,39,32,21.33333333,26,17.33333333,18,7.333333333,12,3.333333333,0,0,0,0,7,1,0,,,,
1,0,3,27,30,2,19.66666667,13.11111111,-13.88888889,-16.88888889,11.11111111,30,60,45,30,39,26,18,3,12,-1,0,0,1,0,52,10,31,20.66666667,30.66666667,20.44444444,1,-9.333333333,0.666666667,-9.555555556,0,0,0,0,33,10,21.5,14.33333333,15,10,19.5,12.33333333,13,8,1,1,0,1,1,0,7,,,,
1,0,4,7,11,19,12.33333333,8.222222222,1.222222222,-2.777777778,-10.77777778,20,30,25,16.66666667,19,12.66666667,18,9.666666667,12,5.666666667,1,1,0,1,5,51,28,18.66666667,22.33333333,14.88888889,17,7.666666667,11.33333333,3.888888889,0,0,0,1,25,63,44,29.33333333,35.66666667,23.77777778,25,10.33333333,16.66666667,4.777777778,0,0,1,0,7,1,0,16,2,13,
1,1,5,23,54,90,55.66666667,37.11111111,14.11111111,-16.88888889,-52.88888889,20,60,40,26.66666667,34.33333333,22.88888889,17,3.666666667,11.33333333,-0.111111111,1,0,1,1,85,45,65,43.33333333,61.33333333,40.88888889,11,-10.66666667,7.333333333,-13.11111111,0,1,0,1,75,99,87,58,88,58.66666667,-3,-32,-2,-31.33333333,0,0,0,0,6,1,0,,,,
1,1,6,33,26,47,35.33333333,23.55555556,-9.444444444,-2.444444444,-23.44444444,70,20,45,30,41,27.33333333,12,-3,8,-5.666666667,0,1,1,2,45,35,40,26.66666667,35.33333333,23.55555556,14,0.666666667,9.333333333,-2.444444444,1,0,0,2,59,33,46,30.66666667,46.33333333,30.88888889,-1,-16.33333333,-0.666666667,-16.11111111,0,0,0,1,0,8,1,,,,
1,1,7,14,25,30,23,15.33333333,1.333333333,-9.666666667,-14.66666667,20,15,17.5,11.66666667,16.33333333,10.88888889,3.5,-2.333333333,2.333333333,-3.111111111,1,0,0,1,47,26,36.5,24.33333333,32.66666667,21.77777778,11.5,-0.666666667,7.666666667,-3.222222222,0,1,0,1,28,35,31.5,21,31,20.66666667,1.5,-9,1,-9.333333333,0,1,1,1,7,1,1,,,,
1,1,8,7,26,9,14,9.333333333,2.333333333,-16.66666667,0.333333333,20,15,17.5,11.66666667,14,9.333333333,10.5,4.666666667,7,2.333333333,0,0,1,0,15,32,23.5,15.66666667,24.33333333,16.22222222,-2.5,-10.33333333,-1.666666667,-9.777777778,0,1,0,0,20,15,17.5,11.66666667,14.66666667,9.777777778,8.5,2.666666667,5.666666667,0.777777778,1,0,0,0,0,0,6,13,10,8,
2,0,1,100,30,58,62.66666667,41.77777778,-58.22222222,11.77777778,-16.22222222,5,95,50,33.33333333,66.66666667,44.44444444,-50,-66.66666667,-33.33333333,-55.55555556,0,0,1,0,50,85,67.5,45,55,36.66666667,37.5,15,25,6.666666667,1,1,0,0,20,52,36,24,43.33333333,28.88888889,-22,-34,-14.66666667,-29.11111111,0,0,0,0,0,6,0,,,,
2,0,2,40,45,52,45.66666667,30.44444444,-9.555555556,-14.55555556,-21.55555556,25,16,20.5,13.66666667,27,18,-19.5,-26.33333333,-13,-22,1,1,0,0,25,60,42.5,28.33333333,43.33333333,28.88888889,-2.5,-16.66666667,-1.666666667,-16.11111111,0,0,0,0,18,50,34,22.66666667,40,26.66666667,-18,-29.33333333,-12,-25.33333333,0,0,1,1,6,0,1,,,,
2,0,3,60,35,35,43.33333333,28.88888889,-31.11111111,-6.111111111,-6.111111111,35,27,31,20.66666667,40.66666667,27.11111111,-29,-39.33333333,-19.33333333,-32.88888889,0,1,1,1,60,75,67.5,45,56.66666667,37.77777778,32.5,10,21.66666667,2.777777778,1,0,0,1,50,30,40,26.66666667,38.33333333,25.55555556,5,-8.333333333,3.333333333,-9.444444444,1,0,0,1,1,4,4,,,,
2,0,4,28,25,40,31,20.66666667,-7.333333333,-4.333333333,-19.33333333,28,40,34,22.66666667,32,21.33333333,6,-5.333333333,4,-6.666666667,0,0,0,1,30,50,40,26.66666667,35,23.33333333,15,1.666666667,10,-1.666666667,1,0,1,1,45,50,47.5,31.66666667,45,30,7.5,-8.333333333,5,-10,0,1,0,0,2,7,0,9,17,5,
2,1,5,25,89,82,65.33333333,43.55555556,18.55555556,-45.44444444,-38.44444444,30,50,40,26.66666667,35,23.33333333,15,1.666666667,10,-1.666666667,1,1,1,1,9,21,15,10,39.66666667,26.44444444,-74,-79,-49.33333333,-62.55555556,0,0,0,1,11,26,18.5,12.33333333,39.66666667,26.44444444,-63.5,-69.66666667,-42.33333333,-55.55555556,0,0,0,1,6,1,1,,,,
2,1,6,20,19,56,31.66666667,21.11111111,1.111111111,2.111111111,-34.88888889,43,60,51.5,34.33333333,41,27.33333333,31.5,14.33333333,21,7.333333333,1,1,1,0,10,30,20,13.33333333,19.66666667,13.11111111,1,-5.666666667,0.666666667,-5.888888889,0,0,0,0,32,46,39,26,44.66666667,29.77777778,-17,-30,-11.33333333,-26.22222222,0,0,0,0,7,0,0,,,,
2,1,7,45,63,17,41.66666667,27.77777778,-17.22222222,-35.22222222,10.77777778,15,70,42.5,28.33333333,43.33333333,28.88888889,-2.5,-16.66666667,-1.666666667,-16.11111111,0,0,0,1,22,17,19.5,13,34,22.66666667,-43.5,-50,-29,-40.33333333,0,1,0,1,6,12,9,6,11.66666667,7.777777778,-8,-11,-5.333333333,-9.222222222,1,0,1,0,1,1,6,,,,
2,1,8,15,27,24,22,14.66666667,-0.333333333,-12.33333333,-9.333333333,56,30,43,28.66666667,33.66666667,22.44444444,28,13.66666667,18.66666667,7.444444444,1,1,0,1,32,12,22,14.66666667,23.66666667,15.77777778,-5,-12.33333333,-3.333333333,-11.22222222,0,0,0,1,31,25,28,18.66666667,26.66666667,17.77777778,4,-5.333333333,2.666666667,-6.222222222,0,0,1,1,7,1,1,21,3,8,
3,0,1,96,32,84,70.66666667,47.11111111,-48.88888889,15.11111111,-36.88888889,57,61,59,39.33333333,71.33333333,47.55555556,-37,-56.66666667,-24.66666667,-48.44444444,0,1,1,0,10,60,35,23.33333333,34,22.66666667,3,-8.666666667,2,-9.333333333,1,0,0,0,75,50,62.5,41.66666667,69.66666667,46.44444444,-21.5,-42.33333333,-14.33333333,-37.55555556,0,0,0,0,0,6,0,,,,
3,0,2,25,24,63,37.33333333,24.88888889,-0.111111111,0.888888889,-38.11111111,56,37,46.5,31,39.33333333,26.22222222,21.5,6,14.33333333,1.222222222,1,0,1,1,30,40,35,23.33333333,31.33333333,20.88888889,11,-0.666666667,7.333333333,-3.111111111,0,1,0,1,62,15,38.5,25.66666667,46.66666667,31.11111111,-24.5,-37.33333333,-16.33333333,-31.88888889,0,0,0,0,6,1,0,,,,
3,0,3,3,35,27,21.66666667,14.44444444,11.44444444,-20.55555556,-12.55555556,17,82,49.5,33,34,22.66666667,46.5,30,31,19.66666667,1,0,1,0,55,21,38,25.33333333,37,24.66666667,3,-9.666666667,2,-10.33333333,0,1,0,0,25,30,27.5,18.33333333,27.33333333,18.22222222,0.5,-8.666666667,0.333333333,-8.777777778,0,0,0,1,6,0,1,,,,
3,0,4,81,70,17,56,37.33333333,-43.66666667,-32.66666667,20.33333333,95,36,65.5,43.66666667,70.66666667,47.11111111,-15.5,-37.33333333,-10.33333333,-33.88888889,0,1,0,0,40,8,24,16,39.33333333,26.22222222,-46,-54,-30.66666667,-43.77777778,0,0,1,0,15,2,8.5,5.666666667,11.33333333,7.555555556,-8.5,-11.33333333,-5.666666667,-9.444444444,1,0,0,0,0,0,6,12,7,7,
3,1,5,16,60,6,27.33333333,18.22222222,2.222222222,-41.77777778,12.22222222,46,18,32,21.33333333,26.66666667,17.77777778,16,5.333333333,10.66666667,1.777777778,1,1,1,0,50,30,40,26.66666667,46.66666667,31.11111111,-20,-33.33333333,-13.33333333,-28.88888889,0,0,0,0,7,5,6,4,6,4,0,-2,0,-2,0,0,0,0,6,0,0,,,,
3,1,6,32,25,23,26.66666667,17.77777778,-14.22222222,-7.222222222,-5.222222222,56,40,48,32,42.66666667,28.44444444,16,0,10.66666667,-3.555555556,0,1,0,1,18,65,41.5,27.66666667,36,24,16.5,2.666666667,11,-1,0,0,0,1,73,18,45.5,30.33333333,38,25.33333333,22.5,7.333333333,15,2.333333333,1,0,1,0,0,1,6,,,,
3,1,7,12,22,16,16.66666667,11.11111111,-0.888888889,-10.88888889,-4.888888889,42,19,30.5,20.33333333,24.33333333,16.22222222,18.5,8.333333333,12.33333333,4.222222222,1,0,0,1,16,32,24,16,23.33333333,15.55555556,2,-6,1.333333333,-6.444444444,0,0,1,1,11,31,21,14,19.33333333,12.88888889,5,-2,3.333333333,-3.111111111,0,1,0,1,7,1,1,,,,
3,1,8,55,14,6,25,16.66666667,-38.33333333,2.666666667,10.66666667,49,21,35,23.33333333,41.66666667,27.77777778,-20,-31.66666667,-13.33333333,-27.22222222,0,0,1,0,12,20,16,10.66666667,15.33333333,10.22222222,2,-3.333333333,1.333333333,-3.777777778,1,0,0,0,18,3,10.5,7,9,6,4.5,1,3,0,0,1,0,1,0,6,1,13,8,8,
4,0,1,12,36,24,24,16,4,-20,-8,41,30,35.5,23.66666667,27.66666667,18.44444444,23.5,11.66666667,15.66666667,6.444444444,1,1,0,2,14,24,19,12.66666667,24.66666667,16.44444444,-17,-23.33333333,-11.33333333,-19.55555556,0,0,0,2,48,87,67.5,45,53,35.33333333,43.5,21,29,11.33333333,0,0,1,0,7,2,0,,,,
4,0,2,15,72,5,30.66666667,20.44444444,5.444444444,-51.55555556,15.44444444,10,21,15.5,10.33333333,15.33333333,10.22222222,0.5,-4.666666667,0.333333333,-4.777777778,1,1,1,1,32,16,24,16,40,26.66666667,-48,-56,-32,-45.33333333,0,0,0,1,32,25,28.5,19,20.66666667,13.77777778,23.5,14,15.66666667,8.777777778,0,0,0,0,7,1,0,,,,
4,0,3,24,12,28,21.33333333,14.22222222,-9.777777778,2.222222222,-13.77777778,40,10,25,16.66666667,24.66666667,16.44444444,1,-7.333333333,0.666666667,-7.555555556,0,0,0,1,9,22,15.5,10.33333333,14.33333333,9.555555556,3.5,-1.666666667,2.333333333,-2.444444444,1,0,1,1,18,46,32,21.33333333,30.66666667,20.44444444,4,-6.666666667,2.666666667,-7.555555556,0,1,0,0,1,7,0,,,,
4,0,4,14,18,20,17.33333333,11.55555556,-2.444444444,-6.444444444,-8.444444444,20,16,18,12,16.66666667,11.11111111,4,-2,2.666666667,-2.888888889,1,0,0,0,26,32,29,19.33333333,25.33333333,16.88888889,11,1.333333333,7.333333333,-1.111111111,0,0,1,0,18,32,25,16.66666667,23.33333333,15.55555556,5,-3.333333333,3.333333333,-4.444444444,0,1,0,1,8,0,1,23,10,1,
4,1,5,15,35,20,23.33333333,15.55555556,0.555555556,-19.44444444,-4.444444444,6,20,13,8.666666667,13.66666667,9.111111111,-2,-6.333333333,-1.333333333,-5.888888889,1,0,0,0,40,70,55,36.66666667,48.33333333,32.22222222,20,1.666666667,13.33333333,-2.777777778,0,1,0,0,7,17,12,8,14.66666667,9.777777778,-8,-12,-5.333333333,-10.22222222,0,0,1,1,7,0,1,,,,
4,1,6,10,25,21,18.66666667,12.44444444,2.444444444,-12.55555556,-8.555555556,15,24,19.5,13,16.33333333,10.88888889,9.5,3,6.333333333,0.888888889,1,1,1,1,10,30,20,13.33333333,21.66666667,14.44444444,-5,-11.66666667,-3.333333333,-10.55555556,0,0,0,1,28,19,23.5,15.66666667,22.66666667,15.11111111,2.5,-5.333333333,1.666666667,-5.888888889,0,0,0,1,7,1,1,,,,
4,1,7,25,15,13,17.66666667,11.77777778,-13.22222222,-3.222222222,-1.222222222,17,12,14.5,9.666666667,18,12,-10.5,-15.33333333,-7,-13,0,1,1,2,20,10,15,10,15,10,0,-5,0,-5,0,0,0,2,15,28,21.5,14.33333333,18.66666667,12.44444444,8.5,1.333333333,5.666666667,-0.555555556,1,0,0,2,2,2,8,,,,
4,1,8,13,9,8,10,6.666666667,-6.333333333,-2.333333333,-1.333333333,12,17,14.5,9.666666667,14,9.333333333,1.5,-3.333333333,1,-3.666666667,0,1,0,2,17,10,13.5,9,12,8,4.5,0,3,-1,0,0,1,2,29,16,22.5,15,17.66666667,11.77777778,14.5,7,9.666666667,3.777777778,1,0,0,1,1,2,7,17,5,17,
5,0,1,22,60,76,52.66666667,35.11111111,13.11111111,-24.88888889,-40.88888889,33,88,60.5,40.33333333,47.66666667,31.77777778,38.5,18.33333333,25.66666667,9.777777778,1,1,0,0,65,63,64,42.66666667,62.66666667,41.77777778,4,-17.33333333,2.666666667,-18.22222222,0,0,0,0,25,40,32.5,21.66666667,47,31.33333333,-43.5,-54.33333333,-29,-44.66666667,0,0,1,1,6,0,1,,,,
5,0,2,17,20,48,28.33333333,18.88888889,1.888888889,-1.111111111,-29.11111111,45,40,42.5,28.33333333,34,22.66666667,25.5,11.33333333,17,5.666666667,0,0,0,0,30,35,32.5,21.66666667,28.33333333,18.88888889,12.5,1.666666667,8.333333333,-1.111111111,1,1,0,0,29,70,49.5,33,49,32.66666667,1.5,-15,1,-15.33333333,0,0,1,0,1,6,0,,,,
5,0,3,8,10,33,17,11.33333333,3.333333333,1.333333333,-21.66666667,20,23,21.5,14.33333333,17,11.33333333,13.5,6.333333333,9,3.333333333,0,1,0,0,16,18,17,11.33333333,14.66666667,9.777777778,7,1.333333333,4.666666667,-0.222222222,1,0,0,0,30,15,22.5,15,26,17.33333333,-10.5,-18,-7,-15.66666667,0,0,1,1,0,6,1,,,,
5,0,4,3,8,11,7.333333333,4.888888889,1.888888889,-3.111111111,-6.111111111,10,12,11,7.333333333,8.333333333,5.555555556,8,4.333333333,5.333333333,2.555555556,1,1,1,0,17,19,18,12,14.66666667,9.777777778,10,4,6.666666667,1.777777778,0,0,0,0,7,15,11,7.333333333,11,7.333333333,0,-3.666666667,0,-3.666666667,0,0,0,1,8,0,1,15,12,3,
5,1,5,22,8,65,31.66666667,21.11111111,-0.888888889,13.11111111,-43.88888889,65,70,67.5,45,52.33333333,34.88888889,45.5,23,30.33333333,12.88888889,1,0,0,1,15,23,19,12.66666667,15.33333333,10.22222222,11,4.666666667,7.333333333,2.222222222,0,0,1,1,30,70,50,33.33333333,55,36.66666667,-15,-31.66666667,-10,-28.33333333,0,1,0,0,7,1,0,,,,
5,1,6,15,35,11,20.33333333,13.55555556,-1.444444444,-21.44444444,2.555555556,33,20,26.5,17.66666667,22.66666667,15.11111111,11.5,2.666666667,7.666666667,0.111111111,1,1,1,0,58,66,62,41.33333333,53,35.33333333,27,6.333333333,18,0.333333333,0,0,0,0,30,5,17.5,11.66666667,15.33333333,10.22222222,6.5,0.666666667,4.333333333,-0.777777778,0,0,0,1,7,0,1,,,,
