Sesion,Subjuego,Periodo,EA,EB,EC,Promedio,Objetivo,Target - C1,Target - C2,Target - C3,B1a,B1b,BO1,BOP1,BA1,BAP1,DO1,DOP1,DA1,DAP1,W1,W1pre,W1post,G1,B2a,B2b,BO2,BOP2,BA2,BAP2,DO2,DOP2,DA2,DAP2,W2,W2pre,W2pos,G2,CC1,CC2,BO3,BOP3,BA3,BAP3,DO3,DOP3,DA3,DAP3,W3,W3pre,W3pos,G3,Puntos1,Puntos2,Puntos3,TA,TB,TC,
5,1,7,7,15,18,13.33333333,8.888888889,1.888888889,-6.111111111,-9.111111111,20,18,19,12.66666667,15,10,12,5.666666667,8,3,1,0,0,2,10,20,15,10,15,10,0,-5,0,-5,0,1,1,2,20,15,17.5,11.66666667,17.66666667,11.77777778,-0.5,-6.333333333,-0.333333333,-6.222222222,0,1,0,1,8,2,1,,,,
5,1,8,3,5,10,6,4,1,-1,-6,10,12,11,7.333333333,8.333333333,5.555555556,8,4.333333333,5.333333333,2.555555556,0,1,0,1,12,14,13,8.666666667,10.33333333,6.888888889,8,3.666666667,5.333333333,1.888888889,1,0,0,1,15,8,11.5,7.666666667,11,7.333333333,1.5,-2.333333333,1,-2.666666667,0,0,1,1,5,4,1,27,7,3,
6,0,1,13,29,34,25.33333333,16.88888889,3.888888889,-12.11111111,-17.11111111,7,9,8,5.333333333,9.666666667,6.444444444,-5,-7.666666667,-3.333333333,-6.555555556,1,,,1,10,40,25,16.66666667,26.33333333,17.55555556,-4,-12.33333333,-2.666666667,-11.44444444,0,,,1,20,63,41.5,27.66666667,39,26,7.5,-6.333333333,5,-8,0,,,0,6,1,0,,,,
6,0,2,27,33,28,29.33333333,19.55555556,-7.444444444,-13.44444444,-8.444444444,23,13,18,12,21,14,-9,-15,-6,-13,1,,,0,20,5,12.5,8.333333333,19.33333333,12.88888889,-20.5,-24.66666667,-13.66666667,-20.11111111,0,,,0,15,40,27.5,18.33333333,27.66666667,18.44444444,-0.5,-9.666666667,-0.333333333,-9.555555556,0,,,0,7,0,0,,,,
6,0,3,13,97,17,42.33333333,28.22222222,15.22222222,-68.77777778,11.22222222,23,19,21,14,18.33333333,12.22222222,8,1,5.333333333,-0.777777778,0,,,0,43,90,66.5,44.33333333,76.66666667,51.11111111,-30.5,-52.66666667,-20.33333333,-45.88888889,0,,,0,25,30,27.5,18.33333333,24,16,10.5,1.333333333,7,-1,1,,,1,1,0,6,,,,
6,0,4,23,24,23,23.33333333,15.55555556,-7.444444444,-8.444444444,-7.444444444,17,15,16,10.66666667,18.33333333,12.22222222,-7,-12.33333333,-4.666666667,-10.77777778,0,,,0,29,50,39.5,26.33333333,34.33333333,22.88888889,15.5,2.333333333,10.33333333,-1.111111111,0,,,0,30,35,32.5,21.66666667,29.33333333,19.55555556,9.5,-1.333333333,6.333333333,-3.444444444,1,,,0,3,0,3,17,1,9,
6,1,5,13,12,38,21,14,1,2,-24,27,19,23,15.33333333,19.66666667,13.11111111,10,2.333333333,6.666666667,0.111111111,1,,,0,6,3,4.5,3,7,4.666666667,-7.5,-9,-5,-7.333333333,0,,,0,61,18,39.5,26.33333333,39,26,1.5,-11.66666667,1,-12,0,,,1,6,0,1,,,,
6,1,6,17,25,15,19,12.66666667,-4.333333333,-12.33333333,-2.333333333,23,21,22,14.66666667,20.33333333,13.55555556,5,-2.333333333,3.333333333,-3.444444444,0,,,1,30,15,22.5,15,23.33333333,15.55555556,-2.5,-10,-1.666666667,-9.444444444,0,,,1,9,11,10,6.666666667,11.66666667,7.777777778,-5,-8.333333333,-3.333333333,-7.222222222,1,,,1,1,1,6,,,,
6,1,7,13,7,22,14,9.333333333,-3.666666667,2.333333333,-12.66666667,15,17,16,10.66666667,15,10,3,-2.333333333,2,-3,0,,,2,17,20,18.5,12.33333333,14.66666667,9.777777778,11.5,5.333333333,7.666666667,2.777777778,1,,,2,36,21,28.5,19,26.33333333,17.55555556,6.5,-3,4.333333333,-4.444444444,0,,,0,1,8,0,,,,
6,1,8,5,4,12,7,4.666666667,-0.333333333,0.666666667,-7.333333333,5,17,11,7.333333333,9,6,6,2.333333333,4,1,1,,,1,22,12,17,11.33333333,12.66666667,8.444444444,13,7.333333333,8.666666667,4.444444444,0,,,1,10,17,13.5,9,13,8.666666667,1.5,-3,1,-3.333333333,0,,,1,8,1,1,16,10,8,
7,0,1,35,55,37,42.33333333,28.22222222,-6.777777778,-26.77777778,-8.777777778,50,20,35,23.33333333,35,23.33333333,0,-11.66666667,0,-11.66666667,1,,,0,23,70,46.5,31,49.33333333,32.88888889,-8.5,-24,-5.666666667,-22.11111111,0,,,0,25,18,21.5,14.33333333,26.66666667,17.77777778,-15.5,-22.66666667,-10.33333333,-19.22222222,0,,,0,7,0,0,,,,
7,0,2,25,13,63,33.66666667,22.44444444,-2.555555556,9.444444444,-40.55555556,35,40,37.5,25,33.33333333,22.22222222,12.5,0,8.333333333,-2.777777778,1,,,1,7,25,16,10.66666667,15,10,3,-2.333333333,2,-3,0,,,1,43,68,55.5,37,58,38.66666667,-7.5,-26,-5,-24.33333333,0,,,0,6,1,0,,,,
7,0,3,27,7,11,15,10,-17,3,-1,30,65,47.5,31.66666667,40.66666667,27.11111111,20.5,4.666666667,13.66666667,0.111111111,0,,,1,27,62,44.5,29.66666667,32,21.33333333,37.5,22.66666667,25,14.33333333,0,,,1,25,33,29,19.33333333,23,15.33333333,18,8.333333333,12,4.333333333,1,,,1,0,1,7,,,,
7,0,4,15,68,24,35.66666667,23.77777778,8.777777778,-44.22222222,-0.222222222,23,18,20.5,13.66666667,18.66666667,12.44444444,5.5,-1.333333333,3.666666667,-2.555555556,0,,,0,42,9,25.5,17,39.66666667,26.44444444,-42.5,-51,-28.33333333,-41.55555556,0,,,0,28,52,40,26.66666667,34.66666667,23.11111111,16,2.666666667,10.66666667,-0.888888889,1,,,0,1,0,6,14,2,13,
7,1,5,28,58,20,35.33333333,23.55555556,-4.444444444,-34.44444444,3.555555556,35,47,41,27.33333333,36.66666667,24.44444444,13,-0.666666667,8.666666667,-3.555555556,0,,,0,4,60,32,21.33333333,40.66666667,27.11111111,-26,-36.66666667,-17.33333333,-30.88888889,0,,,0,5,31,18,12,18.66666667,12.44444444,-2,-8,-1.333333333,-7.555555556,1,,,1,0,0,7,,,,
7,1,6,22,32,35,29.66666667,19.77777778,-2.222222222,-12.22222222,-15.22222222,40,18,29,19.33333333,26.66666667,17.77777778,7,-2.666666667,4.666666667,-4.222222222,1,,,2,20,30,25,16.66666667,27.33333333,18.22222222,-7,-15.33333333,-4.666666667,-13.77777778,0,,,2,21,18,19.5,13,24.66666667,16.44444444,-15.5,-22,-10.33333333,-18.55555556,0,,,1,7,2,1,,,,
7,1,7,21,14,18,17.66666667,11.77777778,-9.222222222,-2.222222222,-6.222222222,32,24,28,18.66666667,25.66666667,17.11111111,7,-2.333333333,4.666666667,-3.888888889,0,,,2,15,25,20,13.33333333,18,12,6,-0.666666667,4,-2,1,,,2,20,26,23,15.33333333,21.33333333,14.22222222,5,-2.666666667,3.333333333,-3.777777778,0,,,1,0,8,1,,,,
7,1,8,20,10,35,21.66666667,14.44444444,-5.555555556,4.444444444,-20.55555556,13,27,20,13.33333333,20,13.33333333,0,-6.666666667,0,-6.666666667,0,,,0,14,26,20,13.33333333,16.66666667,11.11111111,10,3.333333333,6.666666667,1.111111111,1,,,0,30,40,35,23.33333333,35,23.33333333,0,-11.66666667,0,-11.66666667,0,,,0,1,6,0,8,16,9,
8,0,1,35,25,25,28.33333333,18.88888889,-16.11111111,-6.111111111,-6.111111111,45,55,50,33.33333333,45,30,15,-1.666666667,10,-5,0,,,0,50,70,60,40,48.33333333,32.22222222,35,15,23.33333333,7.222222222,1,,,1,15,60,37.5,25,33.33333333,22.22222222,12.5,0,8.333333333,-2.777777778,0,,,0,0,3,3,,,,
8,0,2,30,40,30,33.33333333,22.22222222,-7.777777778,-17.77777778,-7.777777778,20,40,30,20,30,20,0,-10,0,-10,1,,,0,45,10,27.5,18.33333333,31.66666667,21.11111111,-12.5,-21.66666667,-8.333333333,-18.88888889,0,,,0,30,50,40,26.66666667,36.66666667,24.44444444,10,-3.333333333,6.666666667,-5.555555556,0,,,1,4,0,4,,,,
8,0,3,25,33,35,31,20.66666667,-4.333333333,-12.33333333,-14.33333333,20,30,25,16.66666667,25,16.66666667,0,-8.333333333,0,-8.333333333,1,,,2,22,32,27,18,29,19.33333333,-6,-15,-4,-13.66666667,0,,,2,40,50,45,30,41.66666667,27.77777778,10,-5,6.666666667,-7.222222222,0,,,0,7,2,0,,,,
8,0,4,25,27,30,27.33333333,18.22222222,-6.777777778,-8.777777778,-11.77777778,30,20,25,16.66666667,25,16.66666667,0,-8.333333333,0,-8.333333333,1,,,2,20,28,24,16,25,16.66666667,-3,-11,-2,-10.33333333,0,,,2,25,35,30,20,30,20,0,-10,0,-10,0,,,1,7,2,1,18,7,8,
8,1,5,40,26,16,27.33333333,18.22222222,-21.77777778,-7.777777778,2.222222222,50,30,40,26.66666667,40,26.66666667,0,-13.33333333,0,-13.33333333,0,,,0,70,32,51,34,42.66666667,28.44444444,25,8,16.66666667,2.444444444,0,,,0,23,58,40.5,27,32.33333333,21.55555556,24.5,11,16.33333333,5.555555556,1,,,1,1,0,7,,,,
8,1,6,20,35,24,26.33333333,17.55555556,-2.444444444,-17.44444444,-6.444444444,15,25,20,13.33333333,20,13.33333333,0,-6.666666667,0,-6.666666667,1,,,1,85,15,50,33.33333333,45,30,15,-1.666666667,10,-5,0,,,1,18,30,24,16,24,16,0,-8,0,-8,0,,,2,7,1,2,,,,
8,1,7,20,45,78,47.66666667,31.77777778,11.77777778,-13.22222222,-46.22222222,25,20,22.5,15,21.66666667,14.44444444,2.5,-5,1.666666667,-5.555555556,1,,,1,25,65,45,30,45,30,0,-15,0,-15,0,,,1,20,25,22.5,15,41,27.33333333,-55.5,-63,-37,-50.66666667,0,,,1,6,1,1,,,,
8,1,8,28,14,51,31,20.66666667,-7.333333333,6.666666667,-30.33333333,30,35,32.5,21.66666667,31,20.66666667,4.5,-6.333333333,3,-7.333333333,0,,,0,20,85,52.5,35,39.66666667,26.44444444,38.5,21,25.66666667,12.44444444,1,,,0,27,38,32.5,21.66666667,38.66666667,25.77777778,-18.5,-29.33333333,-12.33333333,-25.22222222,0,,,1,0,6,1,14,8,11,
9,0,1,45,95,6,48.66666667,32.44444444,-12.55555556,-62.55555556,26.44444444,20,75,47.5,31.66666667,46.66666667,31.11111111,2.5,-13.33333333,1.666666667,-13.88888889,1,,,1,25,4,14.5,9.666666667,41.33333333,27.55555556,-80.5,-85.33333333,-53.66666667,-67.44444444,0,,,1,4,8,6,4,6,4,0,-2,0,-2,0,,,0,6,1,0,,,,
9,0,2,55,23,28,35.33333333,23.55555556,-31.44444444,0.555555556,-4.444444444,40,75,57.5,38.33333333,56.66666667,37.77777778,2.5,-16.66666667,1.666666667,-17.22222222,0,,,1,15,30,22.5,15,22.66666667,15.11111111,-0.5,-8,-0.333333333,-7.888888889,1,,,1,35,42,38.5,25.66666667,35,23.33333333,10.5,-2.333333333,7,-4.666666667,0,,,0,0,7,0,,,,
9,0,3,30,40,32,34,22.66666667,-7.333333333,-17.33333333,-9.333333333,25,35,30,20,30,20,0,-10,0,-10,1,,,1,50,30,40,26.66666667,40,26.66666667,0,-13.33333333,0,-13.33333333,0,,,1,20,40,30,20,30.66666667,20.44444444,-2,-12,-1.333333333,-11.55555556,0,,,1,7,1,1,,,,
9,0,4,25,35,34,31.33333333,20.88888889,-4.111111111,-14.11111111,-13.11111111,23,28,25.5,17,25.33333333,16.88888889,0.5,-8,0.333333333,-8.111111111,1,,,1,45,35,40,26.66666667,38.33333333,25.55555556,5,-8.333333333,3.333333333,-9.444444444,0,,,1,35,25,30,20,31.33333333,20.88888889,-4,-14,-2.666666667,-13.11111111,0,,,2,6,1,2,19,10,3,
9,1,5,55,60,18,44.33333333,29.55555556,-25.44444444,-30.44444444,11.55555556,80,15,47.5,31.66666667,50,33.33333333,-7.5,-23.33333333,-5,-21.66666667,0,,,1,30,20,25,16.66666667,36.66666667,24.44444444,-35,-43.33333333,-23.33333333,-35.55555556,0,,,1,22,30,26,17.33333333,23.33333333,15.55555556,8,-0.666666667,5.333333333,-2.444444444,1,,,0,1,1,6,,,,
9,1,6,35,24,20,26.33333333,17.55555556,-17.44444444,-6.444444444,-2.444444444,30,40,35,23.33333333,35,23.33333333,0,-11.66666667,0,-11.66666667,0,,,2,32,15,23.5,15.66666667,23.66666667,15.77777778,-0.5,-8.333333333,-0.333333333,-8.222222222,0,,,2,25,30,27.5,18.33333333,25,16.66666667,7.5,-1.666666667,5,-3.333333333,1,,,2,0,2,8,,,,
9,1,7,20,22,19,20.33333333,13.55555556,-6.444444444,-8.444444444,-5.444444444,25,20,22.5,15,21.66666667,14.44444444,2.5,-5,1.666666667,-5.555555556,0,,,1,24,32,28,18.66666667,26,17.33333333,6,-3.333333333,4,-4.666666667,0,,,1,15,20,17.5,11.66666667,18,12,-1.5,-7.333333333,-1,-7,1,,,2,2,1,8,,,,
9,1,8,12,17,16,15,10,-2,-7,-6,15,17,16,10.66666667,14.66666667,9.777777778,4,-1.333333333,2.666666667,-2.222222222,1,,,2,18,13,15.5,10.33333333,16,10.66666667,-1.5,-6.666666667,-1,-6.333333333,0,,,2,18,20,19,12.66666667,18,12,3,-3.333333333,2,-4,0,,,1,8,2,1,11,6,23,
10,0,1,90,15,55,53.33333333,35.55555556,-54.44444444,20.55555556,-19.44444444,50,30,40,26.66666667,56.66666667,37.77777778,-50,-63.33333333,-33.33333333,-52.22222222,0,,,0,12,5,8.5,5.666666667,10.66666667,7.111111111,-6.5,-9.333333333,-4.333333333,-7.888888889,0,,,0,60,78,69,46,64.33333333,42.88888889,14,-9,9.333333333,-12.11111111,1,,,0,1,0,6,,,,
10,0,2,20,45,47,37.33333333,24.88888889,4.888888889,-20.11111111,-22.11111111,30,40,35,23.33333333,30,20,15,3.333333333,10,0,1,,,0,60,30,45,30,45,30,0,-15,0,-15,0,,,0,30,60,45,30,45.66666667,30.44444444,-2,-17,-1.333333333,-16.55555556,0,,,0,7,0,0,,,,
10,0,3,40,35,35,36.66666667,24.44444444,-15.55555556,-10.55555556,-10.55555556,70,15,42.5,28.33333333,41.66666667,27.77777778,2.5,-11.66666667,1.666666667,-12.22222222,0,,,1,55,30,42.5,28.33333333,40,26.66666667,7.5,-6.666666667,5,-8.333333333,1,,,1,30,45,37.5,25,36.66666667,24.44444444,2.5,-10,1.666666667,-10.55555556,1,,,2,0,4,5,,,,
10,0,4,30,45,40,38.33333333,25.55555556,-4.444444444,-19.44444444,-14.44444444,20,40,30,20,30,20,0,-10,0,-10,1,,,1,50,45,47.5,31.66666667,46.66666667,31.11111111,2.5,-13.33333333,1.666666667,-13.88888889,0,,,1,40,45,42.5,28.33333333,41.66666667,27.77777778,2.5,-11.66666667,1.666666667,-12.22222222,0,,,1,7,1,1,15,5,12,
10,1,5,35,15,32,27.33333333,18.22222222,-16.77777778,3.222222222,-13.77777778,60,20,40,26.66666667,38.33333333,25.55555556,5,-8.333333333,3.333333333,-9.444444444,0,,,1,30,75,52.5,35,40,26.66666667,37.5,20,25,11.66666667,1,,,1,53,81,67,44.66666667,55.33333333,36.88888889,35,12.66666667,23.33333333,4.888888889,0,,,0,1,7,0,,,,
10,1,6,20,23,28,23.66666667,15.77777778,-4.222222222,-7.222222222,-12.22222222,30,40,35,23.33333333,30,20,15,3.333333333,10,0,1,,,1,55,22,38.5,25.66666667,33.33333333,22.22222222,15.5,2.666666667,10.33333333,-0.777777778,0,,,1,16,51,33.5,22.33333333,31.66666667,21.11111111,5.5,-5.666666667,3.666666667,-6.888888889,0,,,1,7,1,1,,,,
10,1,7,25,18,43,28.66666667,19.11111111,-5.888888889,1.111111111,-23.88888889,20,35,27.5,18.33333333,26.66666667,17.77777778,2.5,-6.666666667,1.666666667,-7.222222222,0,,,2,42,20,31,20.66666667,26.66666667,17.77777778,13,2.666666667,8.666666667,-0.222222222,1,,,2,33,42,37.5,25,39.33333333,26.22222222,-5.5,-18,-3.666666667,-16.77777778,0,,,0,1,8,0,,,,
10,1,8,20,21,15,18.66666667,12.44444444,-7.555555556,-8.555555556,-2.555555556,25,30,27.5,18.33333333,25,16.66666667,7.5,-1.666666667,5,-3.333333333,0,,,1,52,19,35.5,23.66666667,30.66666667,20.44444444,14.5,2.666666667,9.666666667,-0.555555556,0,,,1,23,30,26.5,17.66666667,22.66666667,15.11111111,11.5,2.666666667,7.666666667,0.111111111,1,,,1,1,1,7,10,17,8,
,,,AZ,V,NAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
