Sesion,Subjuego,Periodo,EA,EB,EC,n_EA,n_EB,n_EC,n_EA,n_EB,n_EC,Nivel,Rango
1,1,1,100,86,29,Nm0,Nm0,N1m2,0,0,1.5,N-0,51-100
1,1,2,33,71,14,N1,Nm0,N3,1,0,3,N0,45-50
1,1,3,27,30,2,N1m2,N1,Nm3,1.5,1,3.5,N0-1,38-44
1,1,4,7,11,19,Nm3,Nm3,N2m3,3.5,3.5,2.5,N1,30-37
1,2,5,23,54,90,N2,Nm0,Nm0,2,0,0,N1-2,26-29
1,2,6,33,26,47,N1,N1m2,N0,1,1.5,0,N2,20-25
1,2,7,14,25,30,N3,N2,N1,3,2,1,N2-3,17-19
1,2,8,7,26,9,Nm3,N1m2,Nm3,3.5,1.5,3.5,N3,13-16
2,1,1,100,30,58,Nm0,N1,Nm0,0,1,0,N+3,0-12
2,1,2,40,45,52,N0m1,N0,Nm0,0.5,0,0,,
2,1,3,60,35,35,Nm0,N1,N1,0,1,1,,
2,1,4,28,25,40,N1m2,N2,N0m1,1.5,2,0.5,,
2,2,5,25,89,82,N2,Nm0,Nm0,2,0,0,,
2,2,6,20,19,56,N2,N2m3,Nm0,2,2.5,0,,
2,2,7,45,63,17,N0,Nm0,N2m3,0,0,2.5,,
2,2,8,15,27,24,N3,N1m2,N2,3,1.5,2,,
3,1,1,96,32,84,Nm0,N1,Nm0,0,1,0,,
3,1,2,25,24,63,N2,N2,Nm0,2,2,0,,
3,1,3,3,35,27,Nm3,N1,N1m2,3.5,1,1.5,,
3,1,4,81,70,17,Nm0,Nm0,N2m3,0,0,2.5,,
3,2,5,16,60,6,N3,Nm0,Nm3,3,0,3.5,,
3,2,6,32,25,23,N1,N2,N2,1,2,2,,
3,2,7,12,22,16,Nm3,N2,N3,3.5,2,3,,
3,2,8,55,14,6,Nm0,N3,Nm3,0,3,3.5,,
4,1,1,12,36,24,Nm3,N1,N2,3.5,1,2,,
4,1,2,15,72,5,N3,Nm0,Nm3,3,0,3.5,,
4,1,3,24,12,28,N2,Nm3,N1m2,2,3.5,1.5,,
4,1,4,14,18,20,N3,N2m3,N2,3,2.5,2,,
4,2,5,15,35,20,N3,N1,N2,3,1,2,,
4,2,6,10,25,21,Nm3,N2,N2,3.5,2,2,,
4,2,7,25,15,13,N2,N3,N3,2,3,3,,
4,2,8,13,9,8,N3,Nm3,Nm3,3,3.5,3.5,,
5,1,1,22,60,76,N2,Nm0,Nm0,2,0,0,,
5,1,2,17,20,48,N2m3,N2,N0,2.5,2,0,,
5,1,3,8,10,33,Nm3,Nm3,N1,3.5,3.5,1,,
5,1,4,3,8,11,Nm3,Nm3,Nm3,3.5,3.5,3.5,,
5,2,5,22,8,65,N2,Nm3,Nm0,2,3.5,0,,
5,2,6,15,35,11,N3,N1,Nm3,3,1,3.5,,
5,2,7,7,15,18,Nm3,N3,N2m3,3.5,3,2.5,,
5,2,8,3,5,10,Nm3,Nm3,Nm3,3.5,3.5,3.5,,
6,1,1,13,29,34,N3,N1m2,N1,3,1.5,1,,
6,1,2,27,33,28,N1m2,N1,N1m2,1.5,1,1.5,,
6,1,3,13,97,17,N3,Nm0,N2m3,3,0,2.5,,
6,1,4,23,24,23,N2,N2,N2,2,2,2,,
6,2,5,13,12,38,N3,Nm3,N0m1,3,3.5,0.5,,
6,2,6,17,25,15,N2m3,N2,N3,2.5,2,3,,
6,2,7,13,7,22,N3,Nm3,N2,3,3.5,2,,
6,2,8,5,4,12,Nm3,Nm3,Nm3,3.5,3.5,3.5,,
7,1,1,35,55,37,N1,Nm0,N1,1,0,1,,
7,1,2,25,13,63,N2,N3,Nm0,2,3,0,,
7,1,3,27,7,11,N1m2,Nm3,Nm3,1.5,3.5,3.5,,
7,1,4,15,68,24,N3,Nm0,N2,3,0,2,,
7,2,5,28,58,20,N1m2,Nm0,N2,1.5,0,2,,
7,2,6,22,32,35,N2,N1,N1,2,1,1,,
7,2,7,21,14,18,N2,N3,N2m3,2,3,2.5,,
7,2,8,20,10,35,N2,Nm3,N1,2,3.5,1,,
8,1,1,35,25,25,N1,N2,N2,1,2,2,,
8,1,2,30,40,30,N1,N0m1,N1,1,0.5,1,,
8,1,3,25,33,35,N2,N1,N1,2,1,1,,
8,1,4,25,27,30,N2,N1m2,N1,2,1.5,1,,
8,2,5,40,26,16,N0m1,N1m2,N3,0.5,1.5,3,,
8,2,6,20,35,24,N2,N1,N2,2,1,2,,
8,2,7,20,45,78,N2,N0,Nm0,2,0,0,,
8,2,8,28,14,51,N1m2,N3,Nm0,1.5,3,0,,
9,1,1,45,95,6,N0,Nm0,Nm3,0,0,3.5,,
9,1,2,55,23,28,Nm0,N2,N1m2,0,2,1.5,,
9,1,3,30,40,32,N1,N0m1,N1,1,0.5,1,,
9,1,4,25,35,34,N2,N1,N1,2,1,1,,
9,2,5,55,60,18,Nm0,Nm0,N2m3,0,0,2.5,,
9,2,6,35,24,20,N1,N2,N2,1,2,2,,
9,2,7,20,22,19,N2,N2,N2m3,2,2,2.5,,
9,2,8,12,17,16,Nm3,N2m3,N3,3.5,2.5,3,,
10,1,1,90,15,55,Nm0,N3,Nm0,0,3,0,,
10,1,2,20,45,47,N2,N0,N0,2,0,0,,
10,1,3,40,35,35,N0m1,N1,N1,0.5,1,1,,
10,1,4,30,45,40,N1,N0,N0m1,1,0,0.5,,
10,2,5,35,15,32,N1,N3,N1,1,3,1,,
10,2,6,20,23,28,N2,N2,N1m2,2,2,1.5,,
10,2,7,25,18,43,N2,N2m3,N0m1,2,2.5,0.5,,
10,2,8,20,21,15,N2,N2,N3,2,2,3,,
